Community Name,Description,Date,
City of Lancaster/Lancaster Township,"two muni that have population relationships, municipal and school governance relationships. Too big to likely be one district, but
Lancaster Twp should not be divided into rural districts - currently it is in 4 legislative districts unrelated to the non-contiguity of
the muni boundaries itself.","27 Jul, 2021",
Millersville,"A college town that is currently in a deep rural district has more in common with the western suburbs of the city of Lancaster
than it does with Quarryville.","27 Jul, 2021",
Bucks County,"Congressional districts will be bigger in terms of population than before because we only have 17 seats. Bucks County should be
kept whole and combined with parts of mid-to-lower Montgomery County which has similar socioeconomic issues challenges.","27 Jul, 2021",
Greater Harrisburg economic region,Dauphin Metropolitan & Cumberland counties.,"28 Jul, 2021",
a random neighborhood,testing functionality of site,"28 Jul, 2021",
2nd ward city of pittsburgh,Multi cultural area of the city of Pittsburgh,"31 Jul, 2021",
City of Pittsburgh,All of downtown,"01 Aug, 2021",
Centre Region Council of Governments,"Organization among several townships to effectively coordinate mujltiple governmental and civic services across the Centre
Region - e.g. building codes, zoning, police and emergency services, recreational offerings, libraries, and others. This region
should not be split and doled out among congressional districts with far flung constituencies who may have little in common
with the Centre Region, as has been the case with the last round of US Congressional districts.","01 Aug, 2021",
Centre Region Council of Governments,"Organization among several townships to effectively coordinate mujltiple governmental and civic services across the Centre
Region - e.g. building codes, zoning, police and emergency services, recreational offerings, libraries, and others. This region
should not be split and doled out among congressional districts with far flung constituencies who may have little in common
with the Centre Region, as has been the case with the last round of US Congressional districts.","01 Aug, 2021",
State College Area School District,"State College Area School District, which roughly corresponds with the township boundaries of the Centre Region Council of
Governments - e.g. Patton, Harris, Halfmoon, Ferguson, College Townships and State College Borough. Parents, students and
members of this community share a common interest that should not be split and diluted across multiple US congressional
districts as has been the case with the current (2018) congressional district map.","02 Aug, 2021",
Buckingham Township,The Township of Buckingham's boundaries. Please keep it intact.,"02 Aug, 2021",
Doylestown Borough,Historic Doylestown Borough should not be divided.,"02 Aug, 2021",
New Hope,"Quirky, diverse New Hope Borough should remain intact.","02 Aug, 2021",
Bucks County,Keep the county as a single legislative district,"02 Aug, 2021",
"Cameron, Elk, McKean, Potter Counties","These counties are similar in demographic, economy, rural populations and distance from major urban areas.","03 Aug, 2021",
Lawrenceville,This boundary feels inclusive of who I consider neighbors,"03 Aug, 2021",
Central Montgomery County,"Montgomery county will need to be split because of population, but this area defines the central portion. Outlying areas of
montco can be given to lehigh valley and philadelphia.","03 Aug, 2021",
Redbank Valley,"Although part of two counties and divided by the Red Bank Creek, this area consists of the Redbank Valley School District. They
also share several post offices across the county lines -- Mayport, Hawthorn, New Bethlehem, etc.","03 Aug, 2021",
Beaver County,Divide by counties seems to make it alot easier,"03 Aug, 2021",
Mon Valley/Southwestern PA area,"includes the counties of Greene, Washington, Fayette, Westmoreland, and Indiana. This would incorporate a population of
approximately 800,000 Pennsylvanians across the Mon Valley region and be broken up along already existing county boundaries
and would be in many ways comparable to Representative Reschenthaler's 14th District.","03 Aug, 2021",
Hatfield Township,Where I live and vote,"03 Aug, 2021",
Delaware County,"Delaware County, Pa","03 Aug, 2021",
Franklin & Marshall College,My employer and home to hundreds of students who actively vote when they are enrolled here.,"03 Aug, 2021",
Montco & Delco,Greater suburbs east of Philadelphia,"04 Aug, 2021",
Greater Lebanon Area,Lebanon County among shared similar areas,"04 Aug, 2021",
Hershey/Middletown,"Hershey, Middletown and surrounding suburban and rural areas.","04 Aug, 2021",
"Clarion Borough, Clarion County, Pa.
16214","Small college town in an economically declining community. Many challenges. Clarion University is one of the final large
employers, as is the local Hospital. The Downtown is in decline, as are the roads in Clarion Borough. It my hope that the
University does not continue to downsize. It would be devastating for our community.","04 Aug, 2021",
Lackawaxen River Valley,"The valley and nearby settlements surrounding the Lackawaxen River, connecting the largest towns in the area, Honesdale and
Hawley.","04 Aug, 2021",
Montco & Delco,Eastern suburbs of Philadelphia,"04 Aug, 2021",
NEPA,This should be the new congressional district,"05 Aug, 2021",
Harmar Heights,Above Acmetonia,"05 Aug, 2021",
Harmar Heights,Above Acmetonia area,"05 Aug, 2021",
Chamberasburg - Chambersburg West,"St. Thomas Twp., Hamilton Twp, Chambersburg Boro, Greene Twp., Guilford Twp.","05 Aug, 2021",
Canon Mac School District,"cecil twp, canonsburg borough, and north strabane township","05 Aug, 2021",
Southwestern Butler County,"This area of cranberry township, adams township, seven fields, mars, callery , and valencia is considered southwestern butler
county. It included many areas that more closely resemble northern allegheny county than the rest of butler county and i think
should be districted the same.","05 Aug, 2021",
Upper Dublin Township,"My township should not be divided. All residents of the township even though some of the postal address say Ambler should be
included","06 Aug, 2021",
Oakmont/Verona,Oakmont/Verona area.,"06 Aug, 2021",
Upper Montgomery County plus,"Includes Perkiomen Creek from Green Lane reservoir to 422 at Schuylkill river, Harleysville, Skippack, Collegeville, Norristown,
Royersford, Limerick, Schwenksville, Spring Mount and all of Spring Mountain.","06 Aug, 2021",
Country living people,"Collection of ""country folks"" AND some newcomers from York county/MD","06 Aug, 2021",
Church included,Country lifestyles with healthy dose of OUTSIDERS opinions,"06 Aug, 2021",
Lower Paxton Township,"LPT is presently yoked to parts of Swatara Township and West Hanover Township to create a Republican seat. So, too, is
Susquehanna Township linked to Middle Paxton Township and parts of Northern Dauphin County to create another Republican
seat. LPT and Susquehanna Township are contiguous, vote Democratic, and are composed of similar, diverse constituencies. They
should be able to have appropriate representation.","06 Aug, 2021",
Ross,"This is the Neighborhood of Ross. I can't believe the next district is 100 feet from my house on the same street. That doesn't
make sense.","06 Aug, 2021",
Lancaster/York Counties,Where I live and have relatives.,"06 Aug, 2021",
Somerset Township,The township provides for the majority of businesses in the Somerset Area,"06 Aug, 2021",
Frazer,Local townships where I live,"06 Aug, 2021",
Upper Montgomery County,"Perkiomen Creek from Green Lane to the Schuylkill, Route 29 from Red Hill and E. Greenville to Spring Mount, Phoenixville,
Schwenksville, Collegeville, Harleysville, Skippack, Zieglersville, Royersford, Norristown, and Lower Gwynedd.","06 Aug, 2021",
West Shore,"Mechanicsburg, Camp Hill, New Cumberland, Enola, Shiresmantown, and their affiliates.","06 Aug, 2021",
West Shore,"Mechanicsburg, Camp Hill, Enola, Lemoyne, Shiremanstown, new Cumberland, and their affiliates.","06 Aug, 2021",
West Shore,"Mechanicsburg, Camp Hill, Lemoyne, Enola, New Cumberland, Shiremanstown, and their affiliates.","06 Aug, 2021",
Northern Montgomery County,"Perkiomen Creek from Green Lane to the Schuylkill, including Spring Mount, Red Hill, E. Greenville, Harleysville, Souderton,
Skippack, Collegeville-Trappe, Norristown, Lower Gwynedd, Schwenksville, & Rahns.","06 Aug, 2021",
Central Perry,A large portion of Perry County and adjacent rural areas.,"06 Aug, 2021",
Central Pennsylvania,Central Pennsylvania,"06 Aug, 2021",
Bucks/Montgomery,Portions of Upper Bucks and Upper Montgomery Counties are represented.,"06 Aug, 2021",
Parts of NE Phila and Lower Bucks,"This is the area that I think of as home. Bensalem has more in common with the nearest parts of Phila than with, say -
Trumbaursville","06 Aug, 2021",
Bensalem,This is my community of interest,"06 Aug, 2021",
Two-County Intersection,"Lansdale, Montgomeryville, Chalfont, Colmar, Hilltown, North Wales, Eureka, New Britain all intersect in this area","06 Aug, 2021",
"Willow Grove, Horsham, Hatboro,
Lansdale, North Wales, Montgomery
Township, Chalfont, Doylestown","Willow Grove, Horsham, Hatboro, Lansdale, North Wales, Montgomery Township, Chalfont, Doylestown","06 Aug, 2021",
Bensalem,community interest,"06 Aug, 2021",
North Phila. Suburb,Area from taking in north central Bucks County and Montgomery County.,"06 Aug, 2021",
Suburban vs. Metropolitan,"Bethel Park, Peters Twp, Upper St. Clair, Canonsburg Area and South Fayette Twp.","06 Aug, 2021",
community of interest,"From Carlisle in the West to Colonial Park and Harrisburg in the East I have medical care, work & shop","06 Aug, 2021",
Bethlehem Township 18020,"Bethlehem Township includes 18017 and 18020 zip codes and share one Township Municipal governing body. Since 2010, a
small part of 18020 was removed from District 135 and placed into District 138, which, from an administrative standpoint, makes
no sense. Until 2010, the entirety of 18020 was in District 135. The current State Rep for 138 has stated that it is difficult to figure
out which areas fall into 138--and the majority of that constituency is in a more rural area north of where I live, with different
business, recreational, and geographical issues. I am sure it is frustrating for Township officials as well. This was all part of a
gerrymandering scheme to garner more Republican votes, as District 135 has traditionally been center Left. In all the newsletters
of the previous and current 138 reps, never do I see any participation in 18020 activities. The 138 District office is nearly 10 miles
from this area, vs the 135 District office is 5 miles away and half the time to get there. It is also in an area that citizens of the
township are more likely to be traveling near as part of their daily lives. I would like to see all parts of 18020 restored to District
135.","06 Aug, 2021",
Ambler town center,"Area that uses one post office, and embraces the Borough of Ambler as their"" downtown""","06 Aug, 2021",
Bermudian Springs School District,"Latimore, Reading, and Huntington Townships and also including the boroughs of York Springs and East Berlin; all should be in
one district","07 Aug, 2021",
Northern Adams County,"Northern Adams County should be associated with parts of Cumberland and/or York County, not Franklin County or west.","07 Aug, 2021",
Home town,This is where I've grown up and been a member of this community all my life.,"07 Aug, 2021",
Glenn Acres,Glenn acres and surrounding area to include Clark Road.,"07 Aug, 2021",
York County,"York County is a unique County with, for the most part, conservative values and interests and should be in one congressional
district.","07 Aug, 2021",
"Bucks County, Montgomery County","These counties are multicultural and must be not be be limited in the ability of their population to vote in accordance with their
values.","07 Aug, 2021",
Community,Community of Interest,"07 Aug, 2021",
Community,Community of interest,"07 Aug, 2021",
Lansdale AVE,This is the area I consider my direct neighborhood.,"07 Aug, 2021",
My district,This is the community I would consider my voting district,"07 Aug, 2021",
Southern end,These shall be the boundaries of our community which include all of our essentials,"08 Aug, 2021",
southern end,these boundaries shall remain inside the same district,"08 Aug, 2021",
quarryville area,this is a community which should stay together in a district,"08 Aug, 2021",
Stewartstown Station,Just outside of the Borough of Stewartstown,"08 Aug, 2021",
Berks County,The entirety of Berks County,"09 Aug, 2021",
Eagles View,Home Owners Association,"09 Aug, 2021",
Carlisle-Harrisburg-Hershey Corridor,"Subregion of South-Central Pennsylvania stretching west to east. Includes Carlisle, Mechanicsburg, Camp Hill, Marysville,
Harrisburg, Hummelstown, Hershey, Palmyra.","09 Aug, 2021",
Where I live and shop,"Dillsburg, Mechanicsburg, Camp Hill, along and connected by Rt 15.","09 Aug, 2021",
Northern York-Camp Hill,"Those of us who live in Newberry Township, York County currently have a state senator who lives and represents ALL of Lebanon
County. To visit us he has to drive thru Lebanon County, Dauphin County and Cumberland County before he reaches York County.
How can someone who lives that far away truly represent those he has nothing in common with? We feel like bastard children in
our state Senate.","09 Aug, 2021",
Red Land school district and activities,"This is the area where we visit most, attend events, work, shop, attend church and have friends that we interact with most often.
Probably 90% of our time is spent within this area.","09 Aug, 2021",
SweeneyRegular,"I frequent shops, church, and services in this zone of Pennsylvania","09 Aug, 2021",
Southern Chester and Lancaster Counties,Shared rural interests in the southern end with the communities that support them.,"09 Aug, 2021",
Newville,Small-community borough that should be kept within it's current district.,"10 Aug, 2021",
Southern York Community,The Traveling Community of Southern York,"10 Aug, 2021",
Southern York Shopping Community,Community that Supports its local Shops,"10 Aug, 2021",
Lovely Ground,"Where I live, shop, and work.","10 Aug, 2021",
Lovely Ground,"Where I live, shop & work","10 Aug, 2021",
Bristol Borough & Bristol Township,"Lower Bucks Area- Bristol Borough, Tullytown, Bristol Township.","10 Aug, 2021",
Springdale Township,"I am in the 17th district that was redrawn by the state supreme court in 2018 against the constitutional directs of the state. I do
not feel I am represented properly when the political bias of judges draws boundaries for who represents me. Pease follow the
constitution","11 Aug, 2021",
Brookhaven,Delaware county should not include ANY of Philadelphia County.,"11 Aug, 2021",
shop and play,where I shop and play and visit,"12 Aug, 2021",
Southeastern Chester,From Wayne to West Chester and Eagle to Oaks. This is my home range for everyday activities.,"12 Aug, 2021",
Rennerdale and surrounding area,Suburban,"13 Aug, 2021",
"Montrose area, NE PA","Rural, historic, artists and craftspeople, farms, organic farms, dairy farms, economy bolstered by natural gas industry. County seat.","13 Aug, 2021",
"Hatboro Horsham and surrounding
townships","I live in Horsham, have a home based business in Horsham, and my mailing address is Hatboro zip code. I do business in
Horsham and approximately a 10 mile radius. In general, our community is mostly middle class working families and senior
citizen 55+ communities","13 Aug, 2021",
D Klebba Area of Interest #1,The area of Montgomery Township nearest my home.,"15 Aug, 2021",
D Klebba Area of Interest 1,Portion of PA1 close to my home.,"15 Aug, 2021",
D Klebba Area of Interest,"Secondary zone near my home. Shopping, Biking, visiting, etc.","15 Aug, 2021",
Laurie's Community of Interest,"This is generally where I live my life: where I hike, shop, worship, socialize, dine etc. My community is diverse, culturally rich, and
contains plenty of green space (wild nature)","15 Aug, 2021",
"Live, Work, Shop","This is the area my family and I live, work and shop on a daily basis.","16 Aug, 2021",
"Live , Work, Shop","This is the area my family and I live, work and shop on a daily basis.","16 Aug, 2021",
Dist 16 Map,New District 1?,"16 Aug, 2021",
Dist 16 Map 2,Incl Beaver,"16 Aug, 2021",
Dist 16 Map 3,Incl Venango,"16 Aug, 2021",
South-Central Pennsylvania,"Includes Pennsylvania Dutch country, the Cumberland Valley, the outermost suburbs and exurbs of the greater Philadelphia
region, and parts of Appalachia.","17 Aug, 2021",
Northwest Pennsylvania,Scranton - Wilkes-Barre and surrounding region,"17 Aug, 2021",
"PFAS - affected water areas in
Montgomery and Bucks County","Several townships in Bucks and Montgomery County have been affected by PFAS contamination of the water supply from the
previous Horsham/Warminster Air Base activity. This is a very important issue and grouping those townships together can help
make sure they get the focused support they need. The townships currently fall under those included in PA senatorial district 12.
There may be additional townships nearby that I am not aware of that have emerging water issues and that could be included.
The ones I am aware of include Hatfield, Montgomeryville, Horsham, Hatboro, Warrington and Warminster, and Upper Moreland.
Upper Dublin may also be affected - I think Ambler Borough is.","17 Aug, 2021",
Peace Church Countryside,"The combination of Lancaster and Chester counties creates a similar religious microcosm of historic peace church identity. The
current 16th congressional district draws into southern York County, which really is not the same culture as Lancaster and
Chester. Although Lancaster and Chester have some distinctions, there are many parts of both counties that regularly engage in
reciprocal commerce, religious connections, and community realities.","18 Aug, 2021",
Larson Texts Inc. Employees,"The majority of the employees at Larson Texts come from Erie County and Crawford County. We are a community of over 150
employees that share common interests that would best be served by a single legislator who is local.","19 Aug, 2021",
Amberleigh,Planned development that currently spans two townships.,"20 Aug, 2021",
Trail Town,"West Newton borders the Great Allegheny Passage Bike Trail and is a trail town. Economic development depends on recreational
trail visitors along the river and GAP Trail.","20 Aug, 2021",
My area of interest,Greater Harrisburg to Carlisle and the greater Mechanicsburg area.,"21 Aug, 2021",
Karns City Area School District,"This collection of people are a part of the Karns City Area School District, or are just outside the school district and still have
children that go to Karns City High School or related elementary schools. Our community takes pride in what high school they
went to, or where their kids go to, so it makes sense for them to all be within the same Representative or Senator in Harrisburg.","22 Aug, 2021",
Enola-Mechanicsburg Area,Western suburbs of Harrisburg,"22 Aug, 2021",
South-Central Pennsylvania,"Harrisburg, York, Lebanon, Lancaster, Hanover, Reading, etc.","22 Aug, 2021",
Southwest Pennsylvania,Pittsburgh and the southwestern-most counties,"22 Aug, 2021",
Springfield school district,everyone within the Springfield School District in Delaware County,"22 Aug, 2021",
Far Northeast Philadelphia,"my old neighborhood, before I moved to the suburbs - definitely has its own vibe, even compared to the lower Northeast section
of the city","22 Aug, 2021",
Cecil and Surrounding,Similar demogr,"22 Aug, 2021",
"NUMS - Northumberland, Union,
Montour, Snyder Counties","I live in Lewisburg and this community of interest circumscribes the area I use for daily life: shopping, community events, work,
medical appointments, church, recreation. It does not include special events or outings. You can see that it covers four counties:
Union, Snyder, Northumberland, Montour. These are a single community of interest for people who live in greater Lewisburg.","23 Aug, 2021",
South Hills of Pittsburgh,"Suburban community directly south of the city of Pittsburgh. Home to great neighborhoods with challenging transportation
issues and legacy pollution issues.","24 Aug, 2021",
Brogue Farm areas,"this area needs to stay farmland and no building. the roads are being damaged by truck traffics and the debris are spilling onto
the lands. No more electricity lines either","27 Aug, 2021",
Brogue Farm & Park areas,"No building of communities, commercial or electrical structures. The water and lands are being affected by inadequate roads
affecting the clean and green and farm lands.","27 Aug, 2021",
West York,Suburban areas on west side of york before land use becomes rural,"31 Aug, 2021",
Shaler & Hampton Townships,"Centered on the Route 8 corridor in Hampton and Shaler Townships, my community of interest sits on the northern side of the
Allegheny River. It includes part of the McKnight Road (route 19) corridor, extends partially to Wexford to the west bounded by
I79, bounded loosely at the North by route 910, and extends loosely to Fox Chapel area in the East, and includes the prominent
parks of Hartwood Acres and North Park.","31 Aug, 2021",
Cranberry/Mars/Zelienople/Harmony,"This is the area we live. All of these areas north of the Butler county line are interchangeable to us. Incorporating this area into
others like Beaver or Chippewa or New Castle doesn't make sense.","02 Sep, 2021",
"State College Economic Area of
interest","This area constitutes a community of interest because of the prevalence of a single employer in the region and
because of its center county focus. Please do not divide the region.","04 Sep, 2021",
"Northern Lancaster County State
Representative District","Manheim Township, Lititz, Warwick","10 Sep, 2021",
County Line Colleges and Universities,"Multiple colleges, schools, and universities are in this area.","17 Sep, 2021",
Coal Country,"Region of anthracite coal miners primarily located in the Appalachian mountains. More associated geographically
with New York City than with Philly, but still entirely Pennsylvanian.","20 Sep, 2021",
Wilkes-Barre area,"Wilkes-Barre is diverse and historical city in Northeast PA with two universities at the heart of the city, and a large
working class population as well. Many of the surrounding boroughs, townships, and other nearby municipalities are
very much a part of greater Wilkes-Barre and function more like distinct neighborhoods than separate entities and
should be treated as such.","22 Sep, 2021",
Murrysville-Export-Delmont area,"These three communities are very close together. Murrysville engulfs export, and Delmont is usually involved in all of
the three community activities (National Day of Prayer, 9-11 memorial, Memorial Day, etc.)","24 Sep, 2021",
Greater Harrisburg,"Harrisburg and suburbs, including Paxton, Steelton, and Colonial Park on the West Shore, and Lemoyne,
Mechanicsburg, and Camp Hill on the East Shore.","27 Sep, 2021",
Northwest Pennsylvania,North to south from Erie to New Castle.,"27 Sep, 2021",
Shippensburg-Chambersburg Area,Spans western Cumberland County and northern Franklin County.,"27 Sep, 2021",
Scranton-Wilkes Barre Area,Major metropolitan area of northeastern Pennsylvania,"27 Sep, 2021",
Enola-Camp Hill,Western suburbs of Harrisburg,"28 Sep, 2021",
NORMALTY,PLEASE leave us ALONE!,"29 Sep, 2021",
greater Hanover Area,"Country folk,with a little larger population...","29 Sep, 2021",
Hanover Economic District,Hanover Economic Zone - area of York/Adams County that has a shared economy.,"01 Oct, 2021",
Happy Valley,"This is the valley community surrounding our largest employer, Penn State, along the I-99 corridor. Bellefonte as the
county seat and State College are tied economically with a major shopping corridor along Benner Pike, College Ave.
and Atherton Street. We should be in a single Congressional and Senate district. The attachment below shows us split
in a dense neighborhood between two Congress 12 and 15. We are also split among 4 House reps that dilute our
community.","01 Oct, 2021",
Green Ridge,Green Ridge,"06 Oct, 2021",
Monroe County,Please redistrict Monroe County to be included in one Congressional district,"07 Oct, 2021",
"Centre Region Council of Governments
and State College Area School District","What's represented here are the boundaries of the six member municipalities that make up the Centre Region Council of
Governments (COG) (i.e. College, Ferguson, Halfmoon, Harris and Patton Townships, plus the Borough of State College). The area
shown also is effectively congruent with the State College Area School District (SCASD). Centre Region COG provides an
organizational structure to support municipal cooperation on regional issues including planning, development, codes, police
service, emergency services, other municipal services, transportation, parks, recreation, environment, water, waste management,
libraries, and other shared civic interests of the community. SCASD has similar regional reach, with multiple neighborhood
elementary schools, two consolidated middle schools, and a central high school campus. All serve the needs of regional youth
and their families via education, sports, recreation and other extra-curricular activities. Of course, Penn State's University Park
campus is centrally located within the COG region, providing significant educational, economic, recreational and social influences
on the surrounding community. Both COG and SCASD can serve as jurisdictional proxies for many of the civic and social
""communities of interest"" that make up the Centre Region. Business patterns roughly follow, with many local residents, retailers,
service providers, contractors, and charitable groups working and doing business primarily within and across the Centre Region.
The region (plus some immediately adjacent townships) is loosely bounded geographically by ridges on either side. We all drink
water from the Spring Creek watershed. We use the same primary roads to traverse. exit, and re-enter and the region. In short,
the Center Region is a well defined and vibrant community on many dimensions - organizationally, economically, and culturally -
with a unique set of concerns to be represented by its elected representatives. It is a travesty that current congressional
districting splits the region in two and appends those fragments to geographically unrelated and largely rural districts that reach
out in broad swaths toward Bradford, to the NW, and to Susquehanna County, to the NE. On a personal note, I have been resident of the Center Region for well over 40 years. My wife and I both were students at Penn
State, where I also worked for over 30 years. Our daughters were born in Centre Community Hospital. Both attended and
graduated from State College Area schools. One attended Penn State and now lives locally in Patton Township with her husband
and our granddaughter. He teaches at Penn State and works more broadly with the Center Region business community. Our
granddaughter, will attend State College schools. They live within an 10 minute drive from my house. Yet I share a congressional
representative with my distant cousins in Montrose, while they share their representative with strangers in Bradford. That's not
right, and those involved with drawing the current maps know it. We can and should do much better this time around. The
Center Region's boundaries should be respected and its residents should share a common representative in Washington.","13 Oct, 2021",,
Northeast PA Metro Areas,This area is strongly Democratic. It is important these places are represented in a Democratic leaning district.,"17 Oct, 2021",
Delco,"This reflects points of personal interest within my community. The greater Delaware County area stretches from my homes
(Prospect Park/Norwood/Folcroft)to Springfield where I frequently commute to shop as do many that I know in the area.
Included in this area is Media, where I work and Chester where I volunteer and attend Philadelphia Union games. This area
mirrors Delaware County, where the district represents me as is in the current Congressional Map.","03 Nov, 2021"
Delco,"This reflects points of personal interest within my community. The greater Delaware County area stretches from my homes
(Prospect Park/Norwood/Folcroft)to Springfield where I frequently commute to shop as do many that I know in the area.
Included in this area is Media, where I work and Chester where I volunteer and attend Philadelphia Union games. This area
mirrors Delaware County, where the district represents me as is in the current Congressional Map.","03 Nov, 2021"
Western Cumberland County,"The western part of Cumberland County needs its own state rep. I live in Upper Mifflin Township and Barb Gleim is my rep. I am
the last township west in her district. We are different than the rest of her district. We need someone who understands our needs
and that would be someone who represents the Western Part of Cumberland County - Shippensburg Twp and Boro, Hopewell
Twp N & S Newton Twp, Southampton, Newburg Boro, Penn Twp, Cooke Twp. Soth Middleton Twp I think that should make
60,000","08 Nov, 2021"
Western Cumberland County,"Shippensburg Boro/Township; Newburg/Newville Boro, West Pennsboro, Penn, Lower, and Upper Frankford, Upper and Lower
Mifflin, Cooke, S and N Newton, Southampton, Hopewell, and South Middleton, Dickinson Need their own state rep","08 Nov, 2021"
Western Cumberland County,See attachment,"08 Nov, 2021"
2 nd district,expand the 2 nd district,"09 Nov, 2021"
Penn State University community,"This is the region that serves Penn State University. It includes employees, student housing, and the school districts that serve the
staff and faculty. Keep this intact. Splits should be carefully selected outside the urban areas unless the intent is to create two
demographically similar districts. The current cracking of State College zip code should never happen again.","09 Nov, 2021"
State College Area School District,"This community serves the faculty, students and staff of the Penn State University. It was split between Congress 12 and 15 in the
redraw of 2018. Keep communities intact. I'd rather see split county lines than split houses, apartments, condos and senior
homes.","09 Nov, 2021"
City of Carlisle,"The City of Carlisle encompasses such vibrant entities such as the U.S. Army War College, the U.S. Army Education Center, and
Dickinson College. It also is the home of the famous Carlisle Car Show, and the County judicial seat. These entities are all within
just five miles of each other, work very closely together, and should remain together and contiguous, represented by the 199th
District.","10 Nov, 2021"
The Valley,"A region of northern Dauphin (primarily) that is made up of the following school districts: Millersburg Area, Upper Dauphin,
Williams Valley, Line Mountain. Often times, Halifax Area is also included in this description (even though I didn't include them
here in this grouping). This area is like-minded, plays each other in sports, shops and does business in the same places, shares
family values, and is much more rural than the southern part of Dauphin County. It actually has much more in common with
Northumberland, Snyder and even Schuylkill counties than southern or central Dauphin county.","10 Nov, 2021"
Laurie Plank's Community of Interest,"This area is where I live the majority of my life. It is where I shop, dine, attend events, recreate, receive my healthcare. It is where
my friends live.","12 Nov, 2021"
